age,Salary (in €),sexe,is_pregnant,is_parent,weight (in Kg),height (in Cm),is_normal
54,31755,0,0,0,74,198,1
93,5173,1,0,0,80,188,1
93,27602,1,0,1,93,199,1
55,22775,0,1,1,73,188,1
86,35177,0,0,1,65,180,1
97,3111,1,0,0,84,197,1
10,0,0,0,0,43,140,1
27,31210,1,0,1,92,199,1
63,6154,1,0,0,62,178,1
90,29182,1,0,0,66,175,1
38,24218,0,1,1,92,192,1
56,27144,0,0,1,59,176,1
39,13946,1,0,1,87,195,1
88,23240,0,0,1,75,177,1
66,24977,0,1,0,69,177,1
64,1331,1,0,1,77,192,1
14,0,0,0,0,40,141,1
74,21168,0,1,1,81,189,1
3,0,0,1,0,22,96,1
58,13308,1,0,1,76,188,1
66,17650,0,1,1,78,184,1
66,22048,0,1,1,66,176,1
52,35336,0,0,1,76,193,1
43,39113,0,1,0,79,199,1
24,20526,1,0,0,85,196,1
58,17190,1,0,0,63,183,1
76,39866,1,0,1,84,187,1
36,31142,0,1,1,78,190,1
78,2372,1,0,1,64,184,1
18,15041,1,0,1,84,199,1
37,8024,0,1,1,70,185,1
48,14754,1,0,0,74,177,1
27,14541,0,1,0,64,185,1
91,5884,0,0,1,70,185,1
34,20210,1,0,0,73,194,1
40,8802,0,1,0,79,188,1
19,38099,1,0,1,81,184,1
21,17856,1,0,0,81,194,1
33,5919,1,0,1,90,197,1
45,38590,1,0,0,82,187,1
48,36109,1,0,1,85,188,1
51,70,1,0,1,62,181,1
58,19210,1,0,1,66,184,1
43,17455,1,0,1,59,177,1
39,7957,1,0,0,93,197,1
36,22582,0,1,1,62,178,1
52,16409,1,0,1,84,199,1
51,34448,1,0,1,85,196,1
1,0,1,0,0,10,66,1
64,37208,1,0,0,85,194,1
51,15947,1,0,0,69,189,1
32,5379,0,0,1,68,188,1
80,21924,1,0,1,68,177,1
54,21101,0,1,1,76,178,1
85,29524,1,0,1,95,197,1
17,33899,0,0,1,53,165,1
76,16108,1,0,1,78,182,1
87,5381,1,0,1,83,191,1
29,20671,1,0,1,94,196,1
47,29997,0,0,1,66,175,1
53,9812,1,0,1,93,195,1
67,7102,1,0,1,81,195,1
12,0,1,0,0,40,142,1
28,39926,1,0,1,93,194,1
40,21924,1,0,1,75,177,1
49,8422,0,0,1,73,198,1
67,23282,0,1,0,97,198,1
6,0,0,0,0,26,105,1
30,19404,0,0,1,65,176,1
71,26673,1,0,1,91,193,1
2,0,1,0,0,18,85,1
92,5814,1,0,1,80,179,1
14,0,0,1,0,48,141,1
0,0,1,0,0,9,67,1
22,2123,1,0,1,81,190,1
49,34504,1,0,1,94,199,1
47,26724,0,0,1,62,178,1
54,24301,0,1,0,77,179,1
73,17553,1,0,0,75,198,1
58,37420,0,0,0,79,193,1
51,31781,0,1,0,76,197,1
40,16481,0,1,1,85,187,1
15,0,1,0,0,71,173,1
87,18134,0,1,0,68,187,1
100,3001,0,0,0,87,199,1
90,22882,1,0,0,65,175,1
55,28993,1,0,0,68,191,1
76,15705,1,0,1,62,182,1
26,31086,0,1,1,92,199,1
62,9800,0,0,0,69,185,1
36,28443,0,1,1,74,183,1
72,36537,1,0,1,81,185,1
23,38067,1,0,1,66,181,1
4,0,1,0,0,29,112,1
55,11784,1,0,1,72,187,1
21,7477,0,1,0,64,181,1
80,25224,0,0,1,88,194,1
27,19059,0,0,0,76,190,1
68,9804,0,0,1,83,190,1
74,3908,1,0,1,85,185,1
9,0,1,0,0,37,123,1
68,2335,0,1,0,87,196,1
86,35648,1,0,1,72,179,1
14,0,0,0,0,38,133,1
54,7163,1,0,0,75,189,1
94,16321,0,1,1,73,178,1
56,36747,1,0,1,77,187,1
72,29857,0,1,0,75,180,1
61,7781,1,0,0,73,195,1
10,0,1,0,0,50,142,1
53,28200,0,0,0,72,191,1
19,16922,0,0,0,81,192,1
19,5269,1,0,1,80,183,1
34,25040,1,0,1,85,185,1
18,25725,1,0,1,76,178,1
82,8538,0,0,0,78,187,1
16,22069,1,0,0,67,166,1
75,3745,0,1,1,79,193,1
59,23963,0,1,0,83,196,1
58,38232,0,1,0,62,179,1
69,10021,1,0,1,78,180,1
46,9082,0,0,1,71,188,1
88,34798,1,0,0,92,196,1
77,5896,0,0,0,76,194,1
25,28640,1,0,1,71,176,1
47,27014,0,0,1,93,195,1
79,10538,0,1,0,74,178,1
60,110,1,0,1,76,189,1
59,15298,0,0,0,86,187,1
18,39635,0,1,0,68,180,1
91,10745,1,0,0,74,197,1
80,26614,0,0,0,68,191,1
23,8124,0,1,1,83,188,1
48,11347,0,0,1,78,185,1
43,18269,0,1,0,93,195,1
37,26404,1,0,0,77,199,1
18,37168,1,0,0,77,189,1
57,20122,1,0,0,74,175,1
15,0,1,0,0,69,168,1
52,3327,0,1,1,68,185,1
69,39387,1,0,1,76,179,1
17,24843,1,0,1,67,164,1
95,11584,0,0,1,79,196,1
59,6953,1,0,0,65,183,1
20,586,1,0,1,72,194,1
10,0,0,0,0,41,139,1
15,0,1,0,0,69,169,1
2,0,0,0,0,18,92,1
5,0,1,0,0,25,109,1
28,26280,1,0,1,82,199,1
79,32582,0,0,0,88,189,1
4,0,1,0,0,22,100,1
34,35372,0,0,1,76,176,1
30,30384,0,1,0,82,199,1
43,38580,1,0,0,94,198,1
6,0,1,0,0,25,110,1
29,21496,1,0,0,68,177,1
12,0,0,1,0,43,135,1
25,7326,0,1,1,71,192,1
96,13593,1,0,1,78,184,1
71,21858,0,1,1,67,180,1
56,8058,0,0,0,84,196,1
62,34145,1,0,1,85,192,1
43,929,1,0,1,74,185,1
12,0,0,1,0,41,141,1
18,25557,0,0,1,71,176,1
9,0,0,0,0,36,126,1
12,0,1,0,0,36,133,1
13,0,0,0,0,46,141,1
33,28634,1,0,0,91,194,1
40,2129,1,0,1,90,191,1
61,25088,0,0,1,80,186,1
83,33424,1,0,1,86,190,1
39,21155,1,0,1,69,191,1
57,13844,0,0,0,70,182,1
62,30946,1,0,1,88,191,1
1,0,0,1,0,14,80,1
94,2479,1,0,0,81,197,1
33,3562,0,0,1,58,175,1
39,12366,1,0,1,80,184,1
46,19671,0,1,0,63,177,1
75,29101,1,0,1,69,192,1
99,35362,1,0,0,80,181,1
84,35483,0,0,0,69,188,1
51,15219,0,1,0,62,179,1
66,34202,1,0,1,81,193,1
84,19634,1,0,1,72,175,1
30,6952,0,1,1,92,196,1
81,39536,0,0,0,59,178,1
6,0,0,0,0,25,101,1
28,28556,0,1,1,75,197,1
87,39723,0,1,1,90,196,1
83,2192,1,0,1,79,184,1
74,34009,1,0,0,69,193,1
15,0,0,0,0,65,167,1
83,23798,1,0,0,79,189,1
39,34706,1,0,0,94,197,1
46,32089,0,0,1,61,181,1
71,16330,1,0,1,86,191,1
71,26684,0,0,0,63,178,1
78,16717,1,0,0,67,181,1
79,21466,0,0,0,72,194,1
69,21411,0,0,0,75,176,1
29,19691,1,0,0,64,181,1
72,2723,1,0,0,75,197,1
65,30216,1,0,1,58,176,1
47,23681,1,0,0,77,184,1
0,0,0,0,0,7,54,1
88,35608,1,0,1,85,189,1
75,38942,0,1,1,67,176,1
38,9838,1,0,0,79,193,1
0,0,0,0,0,12,71,1
72,17860,0,1,0,65,185,1
53,15191,1,0,1,74,181,1
27,17023,1,0,1,83,189,1
50,39304,1,0,0,76,181,1
78,25281,1,0,1,72,193,1
10,0,1,0,0,35,133,1
44,1698,0,0,1,89,191,1
0,0,0,1,0,13,78,1
88,17767,1,0,0,60,175,1
14,0,0,1,0,38,143,1
16,23969,0,1,1,57,168,1
15,0,0,1,0,69,171,1
21,14335,1,0,0,74,182,1
3,0,0,0,0,17,91,1
75,1117,1,0,1,82,194,1
11,0,1,0,0,42,144,1
36,13684,1,0,0,84,184,1
38,11767,0,1,0,67,176,1
39,9983,0,0,1,73,180,1
81,36595,1,0,0,69,185,1
7,0,0,1,0,28,109,1
18,15625,0,1,1,80,195,1
87,21509,0,1,0,78,185,1
36,39109,0,0,0,78,199,1
94,9645,1,0,0,74,186,1
14,0,1,0,0,51,144,1
8,0,0,1,0,39,129,1
11,0,1,0,0,50,143,1
47,8837,0,0,1,78,194,1
93,8725,0,0,1,69,189,1
64,3176,1,0,1,90,198,1
47,15412,1,0,0,86,190,1
61,20139,0,0,1,65,184,1
5,0,0,0,0,27,117,1
20,5107,0,1,1,90,195,1
35,16604,1,0,0,79,197,1
7,0,0,1,0,29,112,1
24,14070,0,0,0,77,187,1
81,18843,1,0,0,59,178,1
11,0,0,1,0,36,137,1
16,16632,1,0,0,54,165,1
28,13977,0,1,0,81,184,1
91,35665,0,0,1,64,182,1
5,0,1,0,0,25,107,1
64,4145,1,0,1,76,196,1
35,34739,0,1,0,71,183,1
66,23181,0,1,1,60,178,1
36,25884,0,0,0,62,177,1
65,32602,1,0,0,87,191,1
59,17985,0,0,0,68,188,1
67,24059,1,0,0,64,183,1
32,28171,1,0,1,88,190,1
12,0,0,0,0,48,140,1
53,35759,0,1,0,61,176,1
95,27261,1,0,1,84,197,1
39,6436,0,1,0,71,182,1
330,25296,0,1,1,69,186,0
51,31836,1,0,0,67,186,1
96,28579,1,0,0,67,186,1
62,11784,0,1,0,65,185,1
79,37097,0,1,0,71,177,1
15,0,1,0,0,68,169,1
95,14896,1,0,1,85,191,1
18,28739,1,0,0,90,192,1
60,36501,0,0,0,63,176,1
46,28279,0,0,1,74,177,1
6,0,0,0,0,24,103,1
11,0,1,0,0,37,138,1
41,31739,1,0,0,73,181,1
21,37771,0,0,1,78,183,1
71,30614,1,0,1,86,199,1
47,3452,0,0,0,76,183,1
62,30923,0,0,0,71,183,1
14,0,1,0,0,40,135,1
38,19586,1,0,1,83,184,1
96,23852,0,1,0,65,177,1
41,38822,1,0,1,72,188,1
100,29049,1,0,1,76,189,1
65,12770,1,0,1,72,186,1
42,9830,1,0,0,73,175,1
33,36276,0,1,1,72,178,1
1,0,0,0,0,9,64,1
98,22314,0,0,1,63,175,1
94,35173,0,0,0,84,197,1
15,0,0,1,0,60,174,1
24,241,1,0,0,81,191,1
7,0,0,1,0,23,109,1
100,32497,1,0,0,70,186,1
11,0,0,1,0,38,136,1
26,30383,1,0,0,65,185,1
9,0,1,0,0,37,130,1
26,6287,0,0,0,58,177,1
252,34213,0,0,0,62,182,0
73,22414,0,0,1,66,183,1
83,2435,0,0,1,75,185,1
81,28902,1,0,0,83,187,1
65,12713,1,0,1,88,194,1
11,0,0,0,0,44,134,1
59,32274,1,0,1,85,191,1
73,6492,1,0,1,90,191,1
47,22994,0,1,1,73,190,1
33,13811,1,0,1,91,199,1
85,30847,0,1,0,75,175,1
24,34559,1,0,0,99,199,1
22,27294,0,0,1,61,180,1
57,13009,0,1,0,63,184,1
69,5181,1,0,1,68,175,1
92,28726,0,0,1,75,178,1
42,39415,1,0,1,71,191,1
49,39566,1,0,0,78,192,1
4,0,0,0,0,26,102,1
56,69,0,1,0,96,197,1
33,26767,1,0,0,80,181,1
35,5727,0,0,0,71,180,1
54,20424,1,0,0,65,180,1
57,2719,0,0,1,74,197,1
32,28457,0,1,1,78,196,1
56,5841,0,0,1,80,184,1
78,36175,1,0,1,67,176,1
10,0,0,1,0,37,141,1
31,30269,0,1,1,69,179,1
97,22447,1,0,1,88,190,1
29,25880,0,1,1,88,189,1
417,24666,1,0,1,84,185,0
69,16410,0,1,1,73,196,1
76,21689,0,1,0,80,190,1
53,20556,0,1,1,70,184,1
69,29763,1,0,1,58,176,1
20,1193,0,1,0,88,198,1
36,36292,0,1,0,94,195,1
19,34041,0,1,0,68,184,1
77,22981,0,0,0,77,193,1
26,10208,0,0,1,72,196,1
0,0,0,0,0,9,69,1
385,0,0,1,0,23,99,0
85,18760,1,0,0,69,188,1
61,29357,1,0,1,83,193,1
66,16327,1,0,0,67,189,1
84,20973,0,0,1,79,190,1
79,27687,0,1,1,70,179,1
91,39776,0,1,1,81,187,1
55,10269,1,0,1,86,195,1
2,0,1,0,0,20,97,1
13,0,1,0,0,39,144,1
48,6471,1,0,1,76,187,1
50,7756,0,0,0,72,179,1
76,37665,0,0,0,68,190,1
1,0,1,0,0,12,74,1
36,14561,1,0,1,65,180,1
69,36088,1,0,1,90,199,1
97,24177,1,0,1,84,198,1
48,27344,0,0,1,77,193,1
58,8054,0,1,1,65,180,1
52,35908,1,0,1,78,195,1
96,36456,1,0,0,66,178,1
28,39564,1,0,0,84,192,1
53,15191,1,0,1,93,197,1
47,39174,0,0,1,74,186,1
100,1253,1,0,1,68,184,1
90,4707,1,0,0,73,197,1
79,7387,0,1,0,83,188,1
75,19526,0,1,0,73,185,1
16,9484,0,1,1,61,170,1
30,21326,0,0,1,86,186,1
17,2394,1,0,1,61,174,1
8,0,0,1,0,29,122,1
91,36582,1,0,0,59,177,1
34,20644,0,1,1,70,175,1
12,0,1,0,0,40,135,1
45,37403,0,0,0,82,183,1
44,12018,0,1,1,75,188,1
74,162,1,0,0,72,189,1
6,0,1,0,0,22,101,1
40,36760,1,0,1,97,198,1
66,26773,0,1,0,69,183,1
51,38216,1,0,0,78,185,1
13,0,1,0,0,46,144,1
4,0,1,0,0,24,109,1
73,36023,1,0,1,75,197,1
80,8812,0,0,1,78,187,1
70,16609,1,0,1,67,181,1
17,33337,1,0,0,69,171,1
45,8093,1,0,1,66,185,1
55,13342,1,0,0,73,180,1
68,18460,1,0,0,82,194,1
12,0,1,0,0,41,135,1
9,0,1,0,0,37,125,1
68,19817,1,0,1,82,195,1
72,25654,0,1,1,74,182,1
37,2262,1,0,1,86,199,1
47,169,1,0,0,64,184,1
7,0,0,1,0,25,113,1
9,0,1,0,0,29,121,1
52,28814,1,0,1,74,180,1
36,27869,1,0,0,76,199,1
38,6265,0,1,0,65,182,1
58,34906,1,0,0,67,179,1
46,2191,0,0,0,93,194,1
97,31670,1,0,1,63,177,1
29,27624,1,0,1,88,194,1
93,38246,0,0,1,66,185,1
33,10910,1,0,0,83,185,1
43,34993,0,1,1,82,196,1
37,33023,0,1,0,93,193,1
14,0,1,0,0,44,140,1
32,34356,0,1,1,67,184,1
63,26629,0,1,1,75,182,1
78,31896,0,0,0,90,192,1
10,0,1,0,0,37,139,1
78,5835,0,1,0,78,198,1
76,6277,0,1,1,78,194,1
76,27242,0,0,0,76,182,1
6,0,1,0,0,34,119,1
82,30491,0,1,0,61,179,1
84,25425,1,0,0,92,193,1
27,13702,1,0,1,72,178,1
36,26645,1,0,1,79,186,1
31,38727,1,0,0,71,175,1
83,15141,1,0,0,59,177,1
287,0,1,0,0,8,65,0
77,11264,1,0,0,66,177,1
98,9234,1,0,1,88,188,1
79,1669,1,0,0,77,178,1
64,32203,0,1,1,71,187,1
61,22218,0,0,1,71,195,1
13,0,0,1,0,38,141,1
59,30533,1,0,0,69,190,1
72,10955,0,1,1,69,188,1
24,14728,1,0,0,79,198,1
10,0,0,1,0,45,139,1
86,3401,0,0,0,90,193,1
66,22832,0,1,1,74,176,1
97,7542,0,1,0,73,183,1
79,29219,0,1,0,83,197,1
74,39199,1,0,1,71,190,1
23,10978,0,1,0,73,181,1
44,6861,0,0,1,86,190,1
70,19802,0,1,1,93,193,1
15,0,1,0,0,60,171,1
44,27650,0,0,0,92,197,1
40,37274,0,1,1,63,178,1
74,560,0,0,0,71,192,1
88,25533,1,0,0,76,194,1
62,5089,1,0,0,90,199,1
92,29861,0,0,0,93,194,1
36,16528,1,0,0,84,184,1
87,27589,1,0,0,85,191,1
60,22154,0,1,1,96,198,1
95,18933,0,0,1,86,195,1
38,33985,0,1,0,80,185,1
21,20783,0,1,0,79,189,1
33,170,1,0,0,67,185,1
25,24658,0,0,0,71,186,1
46,38460,1,0,1,78,197,1
88,10900,1,0,0,69,192,1
54,19508,0,0,0,59,178,1
79,8125,0,1,0,77,198,1
98,6951,1,0,1,87,192,1
38,1385,1,0,1,63,179,1
12,0,1,0,0,40,142,1
25,15933,1,0,1,67,189,1
60,31434,0,0,0,66,175,1
36,33756,0,0,0,67,181,1
46,37923,0,1,0,65,184,1
40,630,1,0,1,68,180,1
71,35775,0,1,1,80,194,1
81,30969,1,0,0,74,185,1
1,0,1,0,0,7,60,1
93,30641,1,0,1,73,181,1
37,31310,1,0,0,98,198,1
17,21165,1,0,1,59,164,1
32,2983,0,0,0,75,175,1
51,7068,1,0,0,81,182,1
88,26412,1,0,0,67,178,1
23,19776,1,0,1,68,189,1
40,14961,1,0,1,73,196,1
13,0,0,1,0,37,133,1
77,15451,1,0,1,78,179,1
96,28552,0,1,0,88,192,1
75,8293,1,0,0,69,180,1
40,28014,0,1,1,82,192,1
21,928,1,0,0,72,188,1
95,17063,0,0,0,62,183,1
29,3298,1,0,0,83,194,1
38,39157,1,0,0,76,189,1
33,14512,1,0,0,78,178,1
83,18438,1,0,1,68,188,1
92,39026,0,0,0,65,186,1
75,28556,1,0,1,63,181,1
58,9579,1,0,0,66,180,1
71,19466,1,0,0,87,189,1
39,22060,1,0,1,87,193,1
95,509,0,0,0,68,190,1
60,18787,0,0,0,67,175,1
79,10351,1,0,1,69,188,1
61,24375,1,0,1,75,181,1
68,2406,0,1,0,96,198,1
39,38536,0,0,1,71,194,1
49,259,1,0,1,79,186,1
55,23838,1,0,1,72,188,1
31,2058,1,0,1,77,197,1
36,32592,1,0,0,64,180,1
37,3502,1,0,1,80,187,1
87,28945,0,1,1,71,195,1
19,25110,1,0,0,80,182,1
49,31090,0,0,0,66,176,1
0,0,0,1,0,12,78,1
79,37645,1,0,0,86,189,1
36,15537,0,0,1,72,184,1
76,24666,1,0,1,65,178,1
27,2097,0,1,1,86,187,1
62,19544,1,0,1,72,178,1
40,5238,1,0,0,68,184,1
95,35197,0,0,0,73,175,1
4,0,1,0,0,27,110,1
81,20235,0,1,1,73,195,1
65,5896,0,1,1,63,184,1
5,0,0,0,0,32,118,1
7,0,0,1,0,26,102,1
88,33172,0,1,0,86,196,1
56,22788,1,0,0,82,184,1
26,24625,0,0,1,86,195,1
74,25204,0,0,1,90,199,1
18,29370,0,1,1,71,189,1
78,29649,1,0,1,71,179,1
33,5756,1,0,0,83,187,1
75,1007,1,0,1,80,188,1
61,24050,1,0,1,84,187,1
87,36806,1,0,1,75,180,1
99,3149,1,0,1,74,199,1
53,21958,0,0,1,66,176,1
69,21395,0,1,1,69,188,1
66,8551,0,0,0,82,188,1
99,23704,0,1,0,77,195,1
65,34518,1,0,0,77,181,1
66,10973,1,0,0,81,186,1
63,35884,0,0,1,78,191,1
77,10321,1,0,0,77,184,1
97,32994,0,0,0,94,194,1
19,8036,0,0,0,68,189,1
74,4906,1,0,0,78,180,1
93,18991,1,0,1,73,195,1
71,29224,0,1,0,62,177,1
13,0,0,1,0,39,138,1
98,5646,0,0,1,92,197,1
26,18046,1,0,1,87,195,1
55,9900,1,0,1,82,197,1
35,34856,0,1,1,70,185,1
50,28982,0,1,0,83,184,1
66,273,0,0,0,67,175,1
43,30076,1,0,1,61,177,1
26,6265,0,1,0,74,195,1
80,16307,1,0,1,81,183,1
10,0,0,1,0,42,135,1
78,6032,0,0,1,89,191,1
78,29987,0,1,1,86,196,1
51,25037,0,1,1,80,183,1
83,12083,1,0,1,80,184,1
81,13625,0,0,0,78,185,1
28,12319,1,0,1,69,178,1
57,34911,1,0,0,80,196,1
90,6987,1,0,0,81,185,1
85,11430,0,0,0,83,192,1
20,38847,1,0,1,66,175,1
78,9763,0,0,0,89,198,1
1,0,0,0,0,12,77,1
37,23893,0,1,1,67,178,1
82,23107,1,0,1,77,187,1
45,3098,0,0,0,75,196,1
10,0,0,0,0,49,144,1
77,28516,0,1,0,78,186,1
32,31441,1,0,0,66,182,1
0,0,1,0,0,11,67,1
54,16184,1,0,0,64,183,1
38,37035,1,0,0,66,180,1
40,1594,0,0,1,72,175,1
72,29229,0,1,0,80,189,1
37,23105,0,1,1,81,187,1
51,22493,1,0,0,72,188,1
3,0,1,0,0,21,96,1
2,0,0,1,0,16,85,1
69,24583,1,0,0,66,176,1
3,0,0,1,0,16,89,1
9,0,1,0,0,27,120,1
25,33232,0,1,1,72,186,1
22,39211,0,0,1,70,182,1
47,753,1,0,1,83,191,1
40,34821,0,0,1,92,193,1
78,39185,0,1,0,93,193,1
17,655,0,0,0,60,174,1
80,30189,1,0,1,70,191,1
62,17133,1,0,1,84,185,1
84,8958,0,1,1,90,193,1
13,0,0,1,0,38,133,1
95,15517,1,0,1,69,181,1
14,0,1,0,0,35,133,1
91,17963,0,0,1,65,187,1
50,37092,0,1,0,68,181,1
44,1466,1,0,1,98,198,1
55,12649,1,0,0,88,199,1
98,27398,0,1,1,66,179,1
93,13543,0,0,1,89,198,1
63,36372,1,0,1,76,178,1
5,0,1,0,0,26,111,1
61,18603,1,0,1,79,179,1
74,34162,0,1,1,86,194,1
40,22938,1,0,0,76,190,1
69,16339,0,1,1,74,191,1
84,26283,1,0,1,91,192,1
93,28391,0,1,1,71,175,1
97,3482,1,0,0,71,184,1
37,25375,0,0,0,78,189,1
74,3206,1,0,0,65,181,1
51,16551,0,0,0,82,195,1
67,21070,0,0,1,81,182,1
95,7884,0,1,1,84,198,1
9,0,0,1,0,32,123,1
29,18869,1,0,1,81,197,1
49,12112,1,0,1,68,180,1
27,37225,0,1,1,72,178,1
18,25498,0,0,1,70,176,1
89,31518,0,0,0,87,194,1
4,0,1,0,0,20,100,1
66,15526,0,0,0,79,194,1
66,26421,0,0,1,67,188,1
55,19925,0,1,1,83,187,1
47,7150,1,0,0,89,194,1
52,7070,1,0,0,75,194,1
62,29617,1,0,0,88,198,1
18,39723,1,0,1,73,178,1
25,16007,1,0,1,63,184,1
46,22037,0,1,0,75,179,1
9,0,1,0,0,33,127,1
36,37850,0,1,0,80,189,1
78,6589,1,0,0,60,176,1
38,12391,1,0,0,77,192,1
100,21549,1,0,0,77,178,1
30,7522,1,0,1,73,178,1
66,19958,1,0,0,81,182,1
86,17614,1,0,1,73,190,1
43,20106,1,0,0,91,195,1
2,0,1,0,0,18,92,1
82,10761,1,0,1,73,178,1
87,9892,0,1,0,81,181,1
85,34169,1,0,1,89,194,1
52,18244,1,0,0,73,178,1
10,0,0,0,0,34,132,1
54,24227,0,1,1,65,184,1
23,23429,0,0,1,68,181,1
13,0,0,0,0,45,138,1
79,35836,0,0,0,66,176,1
8,0,1,0,0,35,120,1
27,25096,0,0,0,62,183,1
87,8096,0,0,0,68,184,1
82,33842,0,1,1,69,186,1
23,24291,0,1,1,67,177,1
13,0,0,0,0,36,133,1
11,0,1,0,0,44,138,1
81,37572,1,0,1,58,176,1
50,23966,0,0,1,63,177,1
